Ⅰ	1970	27	7
Ⅰ	1971	45	10
Ⅰ	1972	45	12
Ⅰ	1973	29	14
Ⅰ	1974	103	9
Ⅰ	1975	41	14
Ⅰ	1976	43	18
Ⅰ	1977	40	16
Ⅰ	1978	91	19
Ⅰ	1979	199	18
Ⅰ	1980	65	20
Ⅰ	1981	102	19
Ⅰ	1982	141	22
Ⅰ	1983	86	31
Ⅰ	1984	104	21
Ⅰ	1985	167	31
Ⅰ	1986	72	25
Ⅰ	1987	128	36
Ⅰ	1988	411	58
Ⅰ	1989	199	60
Ⅰ	1990	254	52
Ⅰ	1991	101	29
Ⅰ	1992	95	40
Ⅰ	1993	114	39
Ⅰ	1994	213	53
Ⅰ	1995	227	38
Ⅰ	1996	140	27
Ⅰ	1997	93	22
Ⅰ	1998	111	32
Ⅰ	1999	83	27
Ⅰ	2000	110	32
Ⅰ	2001	66	23
Ⅰ	2002	221	62
Ⅰ	2003	151	31
Ⅰ	2004	27	14
Ⅰ	2005	99	54
Ⅰ	2006	90	41
Ⅰ	2007	43	17
Ⅰ	2008	12	4
Ⅰ	2009	6	3
Œ_NOUN	1941	1	1
Œ_NOUN	1952	1	1
Œ_NOUN	1953	1	1
Œ_NOUN	1956	1	1
Œ_NOUN	1958	1	1
Œ_NOUN	1961	1	1
Œ_NOUN	1963	5	3
Œ_NOUN	1965	1	1
Œ_NOUN	1966	1	1
Œ_NOUN	1967	1	1
Œ_NOUN	1968	6	4
Œ_NOUN	1969	3	1
Œ_NOUN	1970	1	1
Œ_NOUN	1971	1	1
Œ_NOUN	1973	4	1
Œ_NOUN	1975	1	1
Œ_NOUN	1976	1	1
Œ_NOUN	1980	1	1
Œ_NOUN	1981	3	3
Œ_NOUN	1982	5	2
Œ_NOUN	1984	3	3
Œ_NOUN	1985	4	4
Œ_NOUN	1986	3	3
Œ_NOUN	1987	1	1
Œ_NOUN	1988	2	2
Œ_NOUN	1989	3	2
Œ_NOUN	1990	7	2
Œ_NOUN	1991	2	2
Œ_NOUN	1992	1	1
Œ_NOUN	1993	11	3
Œ_NOUN	1994	6	3
Œ_NOUN	1995	2	2
Œ_NOUN	1996	1	1
Œ_NOUN	1998	4	2
Œ_NOUN	2002	1	1
Œ_NOUN	2004	2	2
Œ_NOUN	2006	1	1
Œ_NOUN	2007	1	1
Ⅹ_NOUN	1882	1	1
Ⅹ_NOUN	1900	1	1
Ⅹ_NOUN	1920	8	1
Ⅹ_NOUN	1949	2	1
Ⅹ_NOUN	1951	1	1
Ⅹ_NOUN	1970	1	1
Ⅹ_NOUN	1972	1	1
Ⅹ_NOUN	1973	1	1
Ⅹ_NOUN	1977	5	2
Ⅹ_NOUN	1980	1	1
Ⅹ_NOUN	1984	1	1
Ⅹ_NOUN	1985	2	2
Ⅹ_NOUN	1986	2	2
Ⅹ_NOUN	1988	4	4
Ⅹ_NOUN	1989	2	2
Ⅹ_NOUN	1990	1	1
Ⅹ_NOUN	1991	1	1
Ⅹ_NOUN	1992	3	2
Ⅹ_NOUN	1993	1	1
Ⅹ_NOUN	1994	3	3
Ⅹ_NOUN	1996	5	4
Ⅹ_NOUN	1998	3	1
Ⅹ_NOUN	2002	2	1
Ⅹ_NOUN	2003	2	2
Ⅹ_NOUN	2005	1	1
Ⅹ_NOUN	2009	3	1
œ	1911	2	1
œ	1929	2	1
œ	1932	1	1
œ	1944	1	1
œ	1951	1	1
œ	1952	1	1
œ	1953	1	1
œ	1954	1	1
œ	1958	2	1
œ	1961	2	2
œ	1962	1	1
œ	1963	11	4
œ	1964	10	1
œ	1966	2	1
œ	1968	7	4
œ	1969	2	2
œ	1970	1	1
œ	1977	3	1
œ	1978	1	1
œ	1979	3	1
œ	1980	3	2
œ	1981	10	5
œ	1982	3	2
œ	1983	2	2
œ	1984	5	3
œ	1986	2	2
œ	1987	4	3
œ	1988	1	1
œ	1989	1	1
œ	1990	12	3
œ	1991	2	1
œ	1992	19	3
œ	1993	10	2
œ	1994	6	2
œ	1995	7	2
œ	1996	3	2
œ	1997	1	1
œ	1998	2	2
œ	2000	1	1
œ	2002	2	1
œ	2007	2	2
Ⅱ_NOUN	1805	1	1
Ⅱ_NOUN	1811	1	1
Ⅱ_NOUN	1842	1	1
Ⅱ_NOUN	1860	1	1
Ⅱ_NOUN	1869	4	1
Ⅱ_NOUN	1877	3	1
Ⅱ_NOUN	1879	2	1
Ⅱ_NOUN	1880	1	1
Ⅱ_NOUN	1891	1	1
Ⅱ_NOUN	1902	1	1
Ⅱ_NOUN	1913	1	1
Ⅱ_NOUN	1920	6	1
Ⅱ_NOUN	1925	2	1
Ⅱ_NOUN	1929	1	1
Ⅱ_NOUN	1930	1	1
Ⅱ_NOUN	1931	1	1
Ⅱ_NOUN	1934	1	1
Ⅱ_NOUN	1937	2	1
