,hrf,deriv
167,236.132745359,-2.27321338104
168,231.896035042,-0.766538536182
169,241.195587531,7.84826806908
170,253.284355374,2.08441557789
171,249.378967776,-4.89402578583
172,235.859457743,-7.99345166285
173,225.2802453,-1.15510814848
174,229.451024027,2.01809544178
175,232.891795379,2.8838332944
176,244.60521385,6.54967873956
177,248.580896963,-4.13890106864
178,233.19864003,-7.35151561706
179,229.366713466,0.464901953109
180,222.082468139,-7.23894525932
181,218.1033823,4.29882872655
182,231.369813628,5.91678520589
183,240.205908967,0.24713756765
184,229.373446934,-6.59972224112
185,226.725376574,1.57952153965
186,234.637437985,7.020388181
187,250.487792446,5.53551358949
188,252.006965432,-4.35845112244
189,242.196329939,-2.81238009879
190,245.856617367,4.58875432674
191,250.293927386,-2.23144219696
192,237.717960097,-9.3292278978
193,219.878082886,-7.9546159913
194,211.945958685,2.22363830228
195,232.114396194,13.2507018166
196,254.021938015,8.17166806799
197,261.918927416,-0.190185617935
198,258.108838728,-3.2307233509
199,246.740433975,-7.90633222552
200,228.814566417,-10.4007594766
201,212.782882188,-4.732987668
202,211.336113757,2.80335904191
203,221.149629898,4.69533143148
204,225.270339684,0.993570483288
205,234.253353868,6.19260427926
206,253.119786588,11.2013898067
207,269.985693184,4.10131316715
208,273.388802817,-0.062292031826
209,268.744681568,-4.08126580537
210,262.933875797,-2.25053507941
211,254.702194286,-5.78056368357
212,247.111771805,-1.59122150585
213,245.114146849,-1.97401663721
214,243.392453576,0.417002851648
215,248.556611309,3.97049294532
216,252.95697527,-0.178737052944
217,250.091862521,-1.27741158996
218,250.412696451,-1.22536050235
219,241.804596581,-5.75925171754
220,235.355112064,0.72903976857
221,250.184381256,10.9307827055
222,266.250947678,3.47479364566
223,264.186635654,-4.59150865595
224,254.259287324,-5.54808853663
225,243.651319211,-5.15839526836
226,232.835433594,-5.51750720365
227,219.641733075,-8.71227342535
228,209.568684511,1.46597531918
229,224.018656228,8.58269516352
230,237.845586711,4.55616710161
231,237.186255768,-6.10020431258
232,219.488031855,-9.23206074829
233,212.796809301,3.05447750373
234,221.627595771,2.53407669311
235,227.695482236,3.61214355916
236,231.707938495,-0.0270680490697
237,223.003699453,-7.12803496367
238,219.518473088,3.67266188795
239,236.974696702,11.2588418327
240,258.259159104,8.55973929329
241,267.483014459,0.00281350874953
242,259.077929791,-8.35088669536
