time,f0,intensity
8.03,182.5,0.09
8.04,178.22,0.09
8.05,174.84,0.08
8.06,168.03,0.08
8.07,163.77,0.09
8.08,80.34,0.08
8.09,76.95,0.07
8.1,80.31,0.07
8.11,80.22,0.06
8.12,105.8,0.05
8.13,140.92,0.06
8.14,155.83,0.06
8.15,162.84,0.06
8.16,169.32,0.06
8.17,173.72,0.06
8.18,178.81,0.07
8.19,183.24,0.08
8.2,183.14,0.09
8.21,182.97,0.09
8.22,183.42,0.09
8.23,184.21,0.09
8.24,185.58,0.1
8.25,185.23,0.1
8.26,183.41,0.1
8.27,182.75,0.1
8.28,182.25,0.1
8.29,180.28,0.09
8.3,179.5,0.08
8.31,177.79,0.06
8.32,173.33,0.04
8.33,169.43,0.04
8.34,168.63,0.03
8.35,169.63,0.04
8.36,171.59,0.04
8.37,172.14,0.05
8.38,158.77,0.06
8.39,94.58,0.06
8.4,185.92,0.06
8.41,274.51,0.05
8.42,125.82,0.04
8.43,110.49,0.02
8.44,125.6,0.02
8.45,175.58,0.03
8.46,204.38,0.04
8.47,216.87,0.06
8.48,222.55,0.09
8.49,223.67,0.11
8.5,223.79,0.12
8.51,223.22,0.12
8.52,221.3,0.11
8.53,219.57,0.09
8.54,218.83,0.09
8.55,219.35,0.08
8.56,218.08,0.05
8.57,221.33,0.02
8.58,224.86,0
8.59,228.39,0
8.6,231.91,0.01
8.61,235.44,0.02
8.62,238.97,0.02
8.63,242.5,0.01
8.64,246.02,0.01
8.65,249.55,0.01
8.66,253.08,0.01
8.67,256.61,0.01
8.68,260.13,0.01
8.69,263.66,0.01
8.7,267.19,0.05
8.71,297.31,0.08
8.72,291.31,0.09
8.73,287.61,0.09
8.74,283.26,0.09
8.75,275.95,0.09
8.76,264.62,0.08
8.77,252.95,0.07
8.78,241.03,0.04
8.79,227.56,0.03
8.8,222.71,0.02
8.81,217.08,0.01
8.82,211.44,0.01
8.83,205.81,0.02
8.84,200.17,0.03
8.85,194.54,0.03
8.86,188.9,0.03
8.87,183.27,0.03
8.88,177.63,0.03
8.89,172,0.03
8.9,166.36,0.03
8.91,160.73,0.02
8.92,155.09,0.02
8.93,149.46,0.01
8.94,143.82,0.01
8.95,140.44,0.04
8.96,200.98,0.09
8.97,193.22,0.11
8.98,184.15,0.08
8.99,173.19,0.04
9,79.39,0.02
9.01,94.47,0.02
9.02,129.22,0.01
9.03,314.63,0
9.04,304.77,0
9.05,294.91,0
9.06,285.05,0
9.07,275.19,0
9.08,265.33,0
9.09,255.47,0
9.1,245.61,0
9.11,235.75,0
9.12,225.89,0
9.13,216.03,0
9.14,206.17,0
9.15,196.31,0
9.16,186.45,0
9.17,176.59,0
9.18,166.73,0
9.19,156.87,0.01
9.2,147.01,0.01
9.21,137.15,0.01
9.22,127.29,0.01
9.23,128.74,0.02
9.24,224.63,0.05
9.25,214.82,0.07
9.26,211.49,0.08
9.27,209.55,0.08
9.28,207.94,0.07
9.29,208.49,0.07
9.3,210.39,0.07
9.31,213.87,0.06
9.32,217.66,0.06
9.33,221.17,0.05
9.34,223.93,0.04
9.35,233.98,0.02
9.36,267.6,0.01
9.37,69.01,0.01
9.38,66.81,0
9.39,133.65,0
9.4,74.73,0
9.41,76.49,0
9.42,78.25,0
9.43,80,0
9.44,81.76,0
9.45,83.52,0
9.46,85.28,0
9.47,87.04,0
9.48,88.8,0
9.49,90.56,0
9.5,92.32,0
9.51,94.08,0
9.52,95.83,0
9.53,97.59,0
9.54,99.35,0
9.55,101.11,0
9.56,102.87,0
9.57,104.63,0
9.58,106.39,0
9.59,108.15,0
9.6,109.91,0
9.61,111.66,0
9.62,113.42,0
9.63,115.18,0
9.64,116.94,0
9.65,118.7,0
9.66,120.46,0
9.67,122.22,0
9.68,123.98,0
9.69,125.74,0
9.7,127.49,0
9.71,129.25,0
9.72,131.01,0
9.73,132.77,0
9.74,134.53,0
9.75,136.29,0
9.76,138.05,0
9.77,139.81,0
9.78,141.57,0
9.79,143.32,0
9.8,145.08,0
9.81,146.84,0
9.82,148.6,0
9.83,150.36,0
9.84,152.12,0
9.85,153.88,0
9.86,155.64,0
9.87,157.4,0
9.88,159.16,0
9.89,160.91,0
9.9,162.67,0
9.91,164.43,0
9.92,166.19,0
9.93,167.95,0
9.94,169.71,0
9.95,171.47,0
9.96,173.23,0
9.97,174.99,0
9.98,176.74,0
9.99,178.5,0
10,180.26,0
10.01,182.02,0
10.02,183.78,0
10.03,185.54,0
10.04,187.3,0
10.05,189.06,0
10.06,190.82,0
10.07,192.57,0
10.08,194.33,0
10.09,196.09,0
10.1,197.85,0
10.11,199.61,0
10.12,201.37,0
10.13,203.13,0
10.14,204.89,0
10.15,206.65,0
10.16,208.4,0
10.17,210.16,0
10.18,211.92,0
10.19,213.68,0
10.2,215.44,0
10.21,217.2,0
10.22,218.96,0
10.23,220.72,0
10.24,222.48,0
10.25,224.23,0
10.26,225.99,0
10.27,227.75,0
10.28,229.51,0
10.29,231.27,0
10.3,233.03,0
10.31,234.79,0
10.32,236.55,0
10.33,238.31,0
10.34,240.06,0
10.35,241.82,0
10.36,243.58,0
10.37,245.34,0
10.38,247.1,0
10.39,248.86,0
10.4,250.62,0
10.41,252.38,0
10.42,254.14,0
10.43,255.89,0
10.44,257.65,0.01
10.45,263.62,0.09
10.46,270.77,0.15
10.47,267.8,0.17
10.48,265.06,0.18
10.49,263.45,0.2
10.5,262.14,0.19
10.51,260.88,0.17
10.52,258.28,0.15
10.53,255.34,0.14
10.54,252.9,0.13
10.55,249.61,0.11
10.56,251.34,0.06
10.57,260.71,0.02
10.58,270.08,0.02
10.59,279.46,0.03
10.6,288.83,0.03
10.61,298.21,0.04
