time,f0,intensity
5.73,309.86,0.08
5.74,323.44,0.07
5.75,335.53,0.07
5.76,346.13,0.08
5.77,351.95,0.08
5.78,355.08,0.06
5.79,357.82,0.05
5.8,358.66,0.02
5.81,358.9,0.01
5.82,359.13,0.01
5.83,359.36,0.01
5.84,359.6,0.01
5.85,359.83,0.05
5.86,353.27,0.1
5.87,333.33,0.12
5.88,316.94,0.12
5.89,308.35,0.12
5.9,303.4,0.12
5.91,293.73,0.08
5.92,278.9,0.04
5.93,215.3,0.01
5.94,165.35,0
5.95,214.31,0.01
5.96,192.13,0.06
5.97,317.15,0.12
5.98,311.2,0.15
5.99,306.39,0.15
6,301.83,0.14
6.01,300.26,0.12
6.02,299.94,0.12
6.03,299.27,0.11
6.04,299.9,0.11
6.05,299.61,0.11
6.06,299.26,0.11
6.07,296.16,0.11
6.08,291.77,0.11
6.09,287.58,0.11
6.1,282.45,0.11
6.11,277.56,0.11
6.12,272.34,0.11
6.13,265.88,0.11
6.14,262.02,0.11
6.15,260.85,0.11
6.16,260.02,0.11
6.17,259.61,0.11
6.18,259.27,0.12
6.19,259.2,0.12
6.2,257.57,0.1
6.21,255.22,0.07
6.22,258.48,0.02
6.23,272.49,0.05
6.24,284.81,0.1
6.25,281.99,0.14
6.26,280.64,0.14
6.27,277.91,0.14
6.28,274.7,0.15
6.29,271.62,0.11
6.3,268.94,0.05
6.31,267.48,0.04
6.32,266.03,0.05
6.33,264.57,0.05
6.34,263.12,0.04
6.35,261.66,0.05
6.36,260.21,0.04
6.37,258.76,0.03
6.38,257.3,0.02
6.39,255.85,0.05
6.4,252.61,0.09
6.41,248.3,0.11
6.42,245.28,0.12
6.43,241.37,0.11
6.44,238.93,0.09
6.45,239.85,0.07
6.46,243.03,0.05
6.47,246.24,0.03
6.48,247.19,0.01
6.49,248.13,0.01
6.5,249.08,0.01
6.51,250.03,0.01
6.52,250.97,0.01
6.53,251.92,0.01
6.54,256.61,0.05
6.55,259.5,0.09
6.56,255.81,0.12
6.57,251.89,0.13
6.58,248.42,0.15
6.59,245.22,0.14
6.6,241.66,0.13
6.61,239.03,0.12
6.62,238.39,0.11
6.63,238.68,0.1
6.64,239.34,0.08
6.65,239.67,0.06
6.66,241.31,0.04
6.67,210.72,0.01
6.68,181.78,0
6.69,184.54,0
6.7,187.29,0
6.71,190.05,0
6.72,192.8,0
6.73,195.55,0
6.74,198.31,0
6.75,201.06,0
6.76,203.82,0
6.77,206.57,0
6.78,209.32,0
6.79,212.08,0
6.8,214.83,0
6.81,217.59,0
6.82,220.34,0
6.83,223.09,0
6.84,225.85,0
6.85,228.6,0
6.86,231.36,0
6.87,234.11,0
6.88,236.87,0
6.89,239.62,0
6.9,242.37,0
6.91,245.13,0
6.92,247.88,0
6.93,250.64,0
6.94,253.39,0
6.95,256.14,0
6.96,258.9,0.01
6.97,261.65,0.01
6.98,264.41,0.01
6.99,267.16,0.02
7,269.91,0.02
7.01,272.67,0.03
7.02,275.42,0.03
7.03,278.18,0.09
7.04,276.38,0.13
7.05,273.12,0.13
7.06,272.18,0.11
7.07,273.75,0.07
7.08,276.44,0.04
7.09,279.14,0.04
7.1,281.83,0.04
7.11,284.52,0.04
7.12,287.22,0.04
7.13,289.91,0.05
7.14,292.6,0.05
7.15,295.3,0.04
7.16,297.99,0.03
7.17,300.68,0.07
7.18,296.4,0.1
7.19,290.69,0.11
7.2,285.93,0.1
7.21,280.49,0.1
7.22,271.76,0.08
7.23,259.9,0.06
7.24,254.29,0.08
7.25,250.15,0.1
7.26,243.8,0.09
7.27,238.1,0.06
7.28,235.94,0.03
7.29,235.36,0.02
7.3,234.77,0.03
7.31,233.74,0.06
7.32,229.56,0.08
7.33,225.11,0.08
