了,87.426,87.532,1,563144757,PU
气,87.532,87.820,1,2542408,NN
这些,88.641,88.898,1,52986859,DT
大人们,88.898,89.433,1,0,NN
靠,89.916,90.087,1,3433850,VV
他们,90.087,90.497,1,92921362,PN
自己,90.589,90.828,1,76262558,PN
什么,90.828,91.074,1,42879001,PN
也,91.074,91.238,1,170510819,AD
弄,91.238,91.351,1,1098488,VV
不,91.351,91.450,1,266262267,AD
懂,91.450,91.609,1,1930143,VV
还,92.092,92.232,1,89019438,AD
得,92.232,92.342,1,31626184,VV
老,92.342,92.517,1,4972909,VA
是,92.517,92.661,1,620094380,VC
不,92.661,92.779,1,266262267,AD
断,92.779,92.950,1,2487658,VA
地,92.950,93.007,1,121794346,NN
给,93.007,93.136,1,32856024,VV
他们,93.136,93.417,1,92921362,PN
做,93.417,93.558,1,36211244,VV
解释,93.558,93.933,1,9881198,VV
后来,95.050,95.449,1,7315218,AD
我,96.009,96.106,1,173918038,PN
只好,96.106,96.368,1,1696938,AD
选择,96.368,96.686,1,16083595,VV
了,96.686,96.812,1,563144757,PU
另外,96.812,97.077,1,7705658,AD
一,97.077,97.161,1,421633388,CD
个,97.161,97.279,1,143156817,M
职业,97.279,97.633,1,8202199,NN
我,98.241,98.379,1,173918038,PN
学会,98.379,98.732,1,3498647,NN
了,98.732,98.880,1,563144757,PU
开,98.880,99.089,1,15201256,VV
飞机,99.089,99.457,1,2536424,NN
世界,100.074,100.340,1,48947155,NN
各,100.340,100.530,1,82550625,DT
地,100.530,100.689,1,121794346,NN
差不多,100.689,101.076,1,1604082,VA
都,101.076,101.220,1,110812697,AD
飞,101.220,101.362,1,858806,VV
到,101.362,101.497,1,169578566,VV
过,101.497,101.714,1,38364228,VV
的确,102.276,102.686,1,1863411,AD
地理学,103.273,103.798,1,1889,NN
帮,103.798,104.000,1,894973,VV
了,104.000,104.060,1,563144757,PU
我,104.060,104.159,1,173918038,PN
很,104.159,104.319,1,64780132,AD
大,104.319,104.489,1,126328162,VA
的,104.489,104.554,1,3513074154,DEG
忙,104.554,104.777,1,1075940,VA
我,105.345,105.482,1,173918038,PN
一眼,105.482,105.778,1,575910,AD
就,105.778,105.881,1,116798593,AD
能,105.881,105.998,1,56845754,VV
分辨,105.998,106.328,1,347370,VV
出,106.328,106.477,1,68871130,VV
