,hrf,deriv
200,243.47189483,-9.33479498288
201,222.172463302,-10.1786671852
202,200.540125661,-10.7641432303
203,192.682611967,2.84111163744
204,197.921305997,-1.74567972809
205,193.767648452,2.7053724125
206,215.011001978,13.490844707
207,234.851450041,4.65035432286
208,236.092026551,-2.57420306721
209,228.181114134,-3.40611824299
210,234.940426983,9.1324671433
211,256.309101717,9.3084665997
212,266.940714791,0.485452067131
213,258.44596755,-7.89203009268
214,238.045931534,-13.0864109079
215,208.523584478,-13.5527363721
216,192.038415956,-3.03558605538
217,196.571121236,5.04701205771
218,208.302238953,4.7834096101
219,203.813096372,-9.64921254654
220,176.892270955,-13.9840118775
221,157.827468572,-4.05008934168
222,172.239819597,17.0302696417
223,216.207847684,20.896932909
224,240.113039406,2.85906782714
225,232.564637127,-7.04091185178
226,220.062395254,-5.61825384687
227,211.560510446,-2.77911025018
228,217.653251094,8.11038401986
229,241.25354984,14.3105864782
230,270.90046537,13.2841654629
231,286.301235279,-0.131395794056
232,274.572650761,-8.76927730152
233,259.240019695,-7.10275511901
234,241.943792248,-8.8502713438
235,228.825450829,-5.30130686571
236,219.994110632,-2.5000145695
237,226.577490257,7.30862230585
238,235.981770199,-0.909079160208
239,222.938087979,-10.6678943096
240,206.515603942,-2.56961101366
241,212.112145024,3.48289240446
242,215.16849684,0.389630245055
243,214.923067606,-1.40034635596
244,209.144326217,-3.19737659502
245,208.840754402,0.775111758621
246,205.363103118,-4.27160918436
247,190.792548694,-12.3366773873
248,168.024255767,-5.30280129458
249,180.838113982,14.3715067004
250,213.97172643,16.935067676
251,244.11726582,9.24708310866
252,239.349891076,-12.2262294937
253,217.649432362,-4.49212264493
254,220.545966195,5.15177552132
255,237.076994017,8.24377021586
256,238.872275688,-6.0305057914
257,222.535647362,-7.24568609012
258,219.525552279,3.95113455852
259,230.192260129,2.83665109744
260,222.018978142,-10.3152923574
261,199.376695683,-8.25366351939
262,198.301946468,5.52265068469
263,217.3051869,10.4191593779
264,231.505143026,4.04694864656
265,240.299820087,4.10435954806
266,251.414249889,7.95154923565
267,264.854609487,2.36562684215
268,262.878756911,-3.61801172254
269,245.749106697,-13.7987136326
270,213.827361465,-13.0817501299
271,210.587160197,8.7507335152
272,237.625881563,10.608499271
273,235.728457234,-8.58978725764
274,223.35160871,-2.87754485334
275,221.037939305,-1.18851623015
276,218.449707849,0.586157709502
277,224.661852905,2.70793205662
278,221.01454267,-5.10001478698
279,207.692352932,-6.73528149423
280,206.800282199,6.16183983518
281,227.760121613,11.2195193673
282,242.898008675,2.2729864095
283,236.784319477,-6.31087351236
284,228.551132676,-0.19392149452
285,228.930397131,-2.24882999705
286,219.108373406,-7.87861964219
287,200.442337747,-10.6763097468
288,178.675605432,-9.87496164276
289,168.447687073,0.693665036502
290,173.781685959,1.19674528488
291,171.751470166,0.822606218628
292,185.920692711,11.583927187
293,213.704174969,11.8316358302
294,230.561585487,8.06288744619
295,244.63937837,3.12096243447
296,235.470466876,-11.2638601158
297,209.834098443,-11.2342607745
298,198.114131231,-2.77704771109
299,194.931400485,-1.89513137037
300,191.098757955,-3.38788559857
301,182.37286724,-1.37800949883
302,192.511094229,5.80989926219
303,192.586835007,-3.33392475157
304,189.255868433,-1.64097118884
305,177.620210688,-7.74477130564
306,173.476572818,3.52806487694
307,183.020612453,3.38444963608
308,179.78561851,-4.59430532701
309,173.293288197,-1.72621301516
310,177.338842158,6.70706284419
311,199.607644862,11.57838505
312,211.952750434,-1.33563128146
313,197.521726198,-8.51246250947
314,189.923995262,0.892649729956
315,199.10235102,6.32060838374
316,216.752731642,12.1262793083
317,244.172528747,9.50705774598
318,243.641598173,-5.91957019874
319,234.546240003,-3.20347343571
320,229.590701557,-2.01782670914
321,227.489148026,-0.695200828333
322,226.601043939,-1.75506942256
323,219.76551457,-4.54202650416
324,214.884952273,0.978059977675
325,219.104936054,1.85819509637
326,220.674569116,-1.61862577323
327,218.867570185,1.25235925077
328,216.855986995,-3.7135429508
329,214.150612242,1.88911597274
330,218.616112121,0.0777859167976
331,213.109209233,-5.74477674544
332,200.358514174,-6.0077489884
333,194.818659294,0.66026026423
334,199.971300025,2.10961908769
335,206.011444616,4.22347374962
336,213.602333614,3.46644864223
337,221.30735606,2.77840198277
338,224.397302079,0.369233258452
339,227.358227624,3.10441808948
340,237.577658078,5.18935121792
341,239.893550475,-3.51238096874
342,231.494792623,-2.73565670959
343,233.540307968,3.48641329545
344,239.712661963,2.41816002879
345,243.339981933,0.535811233014
346,242.070530819,-3.1212446545
347,226.197078841,-11.0187214991
348,206.023727618,-8.36413361082
